Series_Title,Released_Year,Certificate,Runtime,Runtime2,Genre,IMDB_Rating,No_of_Votes,Gross
Oldeuboi,2003,A,101 min,101,Action,8.4,515451,707481
Serbuan maut,2011,A,101 min,101,Action,7.6,190531,4105123
Enter the Dragon,1973,A,102 min,102,Action,7.7,96561,25000000
Dirty Harry,1971,A,102 min,102,Action,7.7,143292,35900000
The French Connection,1971,A,104 min,104,Action,7.7,110075,15630710
"Lock, Stock and Two Smoking Barrels",1998,A,107 min,107,Action,8.2,535216,3897569
Predator,1987,A,107 min,107,Action,7.8,371387,59735548
The Bourne Supremacy,2004,A,108 min,108,Action,7.7,434841,176241941
End of Watch,2012,A,109 min,109,Action,7.6,228132,41003371
Lethal Weapon,1987,A,109 min,109,Action,7.6,236894,65207127
Léon,1994,A,110 min,110,Action,8.5,1035236,19501238
Yôjinbô,1961,A,110 min,110,Action,8.2,111244,12100200
Gongdong gyeongbi guyeok JSA,2000,A,110 min,110,Action,7.8,26518,181855
Goldfinger,1964,A,110 min,110,Action,7.7,174119,51081062
Bonnie and Clyde,1967,A,111 min,111,Action,7.8,102415,17550941
District 9,2009,A,112 min,112,Action,7.9,638202,115646235
Escape from Alcatraz,1979,A,112 min,112,Action,7.6,121731,43000000
The Gentlemen,2019,A,113 min,113,Action,7.8,237392,2537920
White Heat,1949,A,114 min,114,Action,8.1,29807,44908400
Raiders of the Lost Ark,1981,A,115 min,115,Action,8.4,884112,248159971
300,2006,A,117 min,117,Action,7.6,732876,210614939
Sicario,2015,A,121 min,121,Action,7.6,371291,46889293
3:10 to Yuma,2007,A,122 min,122,Action,7.7,288797,53606916
Dawn of the Dead,1978,A,127 min,127,Action,7.9,111512,5100000
Nefes: Vatan Sagolsun,2009,A,128 min,128,Action,8,31838,107062
Die Hard: With a Vengeance,1995,A,128 min,128,Action,7.6,364420,100012499
Kingsman: The Secret Service,2014,A,129 min,129,Action,7.7,590440,128261724
V for Vendetta,2005,A,132 min,132,Action,8.2,1032749,70511035
Die Hard,1988,A,132 min,132,Action,8.2,793164,83008852
Seppuku,1962,A,133 min,133,Action,8.6,42004,130743122
The Matrix,1999,A,136 min,136,Action,8.7,1676426,171479930
Logan,2017,A,137 min,137,Action,8.1,647884,226277068
Kill Bill: Vol. 2,2004,A,137 min,137,Action,8,683900,66208183
Apocalypto,2006,A,139 min,139,Action,7.8,291018,50866635
Ang-ma-reul bo-at-da,2010,A,144 min,144,Action,7.8,111252,128392
The Wild Bunch,1969,A,145 min,145,Action,7.9,77401,12064472
Minority Report,2002,A,145 min,145,Action,7.6,508417,132072926
Udta Punjab,2016,A,148 min,148,Action,7.8,27175,169607487
Serbuan maut 2: Berandal,2014,A,150 min,150,Action,8,114316,2625803
The Revenant,2015,A,156 min,156,Action,8,705589,183637894
Watchmen,2009,A,162 min,162,Action,7.6,500799,107509799
Gangs of Wasseypur,2012,A,321 min,321,Action,8.2,82365,144701
Evil Dead II,1987,A,84 min,84,Action,7.8,148359,5923044
Knockin' on Heaven's Door,1997,A,87 min,87,Action,8,27721,3296
Taken,2008,A,90 min,90,Action,7.8,564791,145000989
First Blood,1982,A,93 min,93,Action,7.7,226541,47212904
"Aguirre, der Zorn Gottes",1972,A,95 min,95,Action,7.9,52397,70600400
Mad Max 2,1981,A,96 min,96,Action,7.6,166588,12465371
Per un pugno di dollari,1964,A,99 min,99,Action,8,198219,14500000
Red River,1948,Passed,133 min,133,Action,7.8,28167,2616200
Rio Bravo,1959,Passed,141 min,141,Action,8,56305,12535000
Sherlock Jr.,1924,Passed,45 min,45,Action,8.2,41985,977375
The General,1926,Passed,67 min,67,Action,8.1,81156,1033895
Huo Yuan Jia,2006,PG-13,104 min,104,Action,7.6,72863,24633730
Serenity,2005,PG-13,119 min,119,Action,7.8,283310,25514517
Ying xiong,2002,PG-13,120 min,120,Action,7.9,173999,53710019
Sherlock Holmes,2009,PG-13,128 min,128,Action,7.6,583158,209028679
The Count of Monte Cristo,2002,PG-13,131 min,131,Action,7.8,129022,54234062
Casino Royale,2006,PG-13,144 min,144,Action,8,582239,167445960
Eastern Promises,2007,R,100 min,100,Action,7.6,227760,17114882
Hell or High Water,2016,R,102 min,102,Action,7.6,204175,26862450
Yip Man,2008,R,106 min,106,Action,8,211427,106862
Deadpool,2016,R,108 min,108,Action,8,902669,363070709
The Boondock Saints,1999,R,108 min,108,Action,7.8,227143,25812
Lucky Number Slevin,2006,R,110 min,110,Action,7.7,299524,22494487
Kill Bill: Vol. 1,2003,R,111 min,111,Action,8.1,1000639,70099045
Dip huet seung hung,1989,R,111 min,111,Action,7.8,45624,61277272
Falling Down,1993,R,113 min,113,Action,7.6,171640,40903593
Tropa de Elite,2007,R,115 min,115,Action,8,98097,8060
Ajeossi,2010,R,119 min,119,Action,7.8,62848,6460
Deadpool 2,2018,R,119 min,119,Action,7.7,478586,324591735
Lord of War,2005,R,122 min,122,Action,7.6,294140,24149632
Lat sau san taam,1992,R,128 min,128,Action,7.8,46700,17267171
Tombstone,1993,R,130 min,130,Action,7.8,126871,56505065
Taegukgi hwinalrimyeo,2004,R,140 min,140,Action,8.1,37820,1111061
